url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,230,144
/DesirePathGames/Slay-The-Robot/releases/tag/major,86,65
/DesirePathGames/Slay-The-Robot/wiki,41,31
/DesirePathGames/Slay-The-Robot/wiki/Animations,20,18
/DesirePathGames/Slay-The-Robot/wiki/Cards,17,11
/DesirePathGames/Slay-The-Robot/tree/main/scripts,15,11
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,15,6
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,14,13
/DesirePathGames/Slay-The-Robot/tree/main/data,14,9
/DesirePathGames/Slay-The-Robot/tree/main/autoload,14,8
